brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,Discount_Percentage,Revenue_Score,Price Category
glitchez,Men Straight Fit Jeans,741,1399,0.47,3.7,199,47,147459,Budget
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.7,199,59,277207,Mid
Campus Sutra,Men Regular Fit Denim Jeans,1287,2799,0.54,2.3,54,54,69498,Mid
Roadster,Men Straight Fit Cotton Jeans,949,2499,0.62,3.6,43,62,40807,Budget
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5,50,8245,Mid
SPYKAR,Men Slim Fit Low-Rise Jeans,1101,2899,0.62,4,25,62,27525,Mid
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57,45,78318,Mid
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5,39,9145,Mid
WROGN,Men Mid-Rise Cargo Jeans,1315,2799,0.53,4,165,53,216975,Mid
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42,42,68166,Mid
WROGN,Men Regular Fit Mid-Rise Jeans,979,2799,0.65,4.1,15,65,14685,Budget
Roadster,Light Fade Baggy Jeans,811,2799,0.71,3.2,24,71,19464,Budget
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63,60,47817,Budget
glitchez,Men Baggy Fit Jeans,719,1999,0.64,3.8,176,64,126544,Budget
Kook N Keech,Men Pure Cotton Baggy Jeans,991,3199,0.69,4.3,7,69,6937,Budget
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.3,7,39,12803,Mid
WROGN,Men Anti Fit Jeans,909,2599,0.65,3.9,32,65,29088,Budget
WROGN,Men Baggy Fit Jeans,1049,2999,0.65,3.8,20,65,20980,Mid
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264,49,390192,Mid
Thomas Scott,Men Mid-Rise Jogger Jeans,899,2399,15,3.8,43,1500,38657,Budget
Urbano Fashion,Men Relaxed Fit Jeans,1169,2599,0.55,4.1,34,55,39746,Mid
Calvin Klein Jeans,Men Slim Fit Jeans,1169,2599,0.55,4.1,34,55,39746,Mid
glitchez,Men Jeans,615,2199,0.72,3.4,107,72,65805,Budget
Roadster,Men Wide Leg Light Fade Jeans,805,2599,0.69,3.7,51,69,41055,Budget
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130,42,165750,Mid
Nautica,Men Slim Fit Mid-Rise Jeans,985,2899,0.66,4.4,26,66,25610,Budget
me Queen,Men Straight Fit Cargo Styles,949,1899,0.5,3.5,6,50,5694,Budget
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.5,6,34,13854,Premium
Roadster,Men Straight Fit Jeans,628,1699,0.63,3.9,32,63,20096,Budget
Urbano Fashion,Men Skinny Fit Cotton Jeans,899,1999,0.55,3.8,398,55,357802,Budget
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31,48,64449,Premium
Roadster,Men Relaxed Fit Cargo Jeans,899,2999,0.7,3.7,18,70,16182,Budget
STUDIO NEXX,Men Mid-Rise Jeans,899,2499,0.64,3.8,6,64,5394,Budget
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.8,6,38,9294,Mid
PARIS HAMILTON,Men Bootcut Jeans,959,1999,0.52,4,267,52,256053,Budget
Roadster,Men Slim Fit Jeans,662,1699,0.61,3.8,1200,61,794400,Budget
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25,50,34975,Mid
glitchez,Men Relaxed Pleated Jeans,839,1999,0.58,4.1,25,58,20975,Budget
Roadster,Men Tapered Fit Jeans,701,2699,0.74,3.9,1200,74,841200,Budget
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16,59,22288,Mid
Roadster,Men Pure Cotton Cargo Jeans,779,2599,0.7,4.3,86,70,66994,Budget
Roadster,Men Cotton Regular Fit Jeans,753,2599,0.71,3.8,25,71,18825,Budget
